"true_genetic_1k_cst","true_genetic_1k","true_genetic_10k_cst","true_genetic_10k","true_genetic_100k_cst","true_genetic_100k","true_MVN"
0.924102,0.961904,0.968127,0.945773,0.985153,0.965928,0.836885
0.924659,0.938829,0.910103,0.954803,0.953117,0.935282,0.839691
0.933987,0.961795,0.939285,0.9713,0.929624,0.909909,0.814869
0.937758,0.949302,0.939961,0.947599,0.955355,0.969876,0.795584
0.956034,0.991218,0.916946,0.927015,0.957246,0.93425,0.838082
0.956327,0.965208,0.957813,0.951369,0.944946,0.922668,0.804223
0.955499,0.990957,0.939719,0.939932,0.941161,0.949626,0.819822
0.962926,0.954906,0.928099,0.955744,0.933212,0.980454,0.803036
0.945528,0.976973,0.979969,0.953446,0.95815,0.975971,0.811484
0.952234,0.943629,0.960097,0.956937,0.935263,0.941742,0.79457
