"lmmlite_true","lmmlite_popkin","lmmlite_std_lim_kin","lmmlite_std_kin"
0.8249683182135,0.855605703621478,0.800196407739593,0.909796709359668
0.616686721571991,0.74709598218077,0.577574584130943,0.834030792934805
0.918959858737207,0.911279114590939,0.905983169103266,1
1,1,0.999933893038648,1
0.89385222544609,0.8536937805349,0.877399472833761,0.908571421370431
0.853238306311639,0.896343203786691,0.831648902991205,0.936276123348536
0.943117968733261,1,0.933719077088632,0.999933893038648
0.542990037156817,0.69542379643049,0.502420730493458,0.795087360006079
0.720821577715315,0.732357826961816,0.686925061185523,0.823283636031408
0.706611132963355,0.822360996871496,0.671788325416502,0.887484959376602
1,1,0.999933893038648,1
0.922121893291902,0.862400711784359,0.909600757190161,0.914108634374853
0.759404656605602,0.732499180242281,0.728444218310407,0.823738855472998
0.808746327680545,0.885726622179597,0.782308761787402,0.92959891053092
0.981687420980654,0.975206989315421,0.97852326811045,0.985304792672524
1,1,0.999933893038648,1
1,1,0.999933893038648,1
1,1,0.999933893038648,1
0.473356226523729,0.638241247281244,0.433052676831636,0.750220134271087
1,0.966608994460312,0.999933893038648,0.980103773384531
